,sumValue,contrast,dissimilarity,homogeneity,ASM,energy,hue,value,saturaton,lebal
0,0.026780283244458303,0.482886796493976,0.5149404508719693,0.20869289379463152,0.10497237569060447,0.13189190180584776,0.49369581071226,0.24293223070993064,0.4827102889917564,0
1,0.1370414954899791,0.422320247599459,0.46788600595491286,0.36255713250495214,0.32486187845302217,0.38026954441445815,0.45361802123004624,0.6392739505221109,0.6430020471017833,0
2,0.3139076289427103,0.5920879023859078,0.6716822628668655,0.351983139557005,0.12375690607736245,0.15446367371768543,0.384344866704481,0.8559955147522601,0.5895284288954873,0
3,0.01826249778327138,0.21649502234182916,0.3249149298170991,0.3159113098714029,0.1436464088397802,0.17805551469464587,0.5366096750668503,0.3757516294064055,0.2698485882374638,0
4,0.015207973247337303,0.3728747467844279,0.4509251382390472,0.23364494235981292,0.0762430939226375,0.09679865705406021,0.45579774734624423,0.434143948419651,0.5240580565442708,0
5,0.053668219099153286,0.3355394493102889,0.39547001276052746,0.40675580241596965,0.3237569060773625,0.37909830868216066,0.45474434810793296,0.4681897820449926,0.6780794127953084,0
6,0.007883992505169052,0.6647000734100349,0.6519034453424075,0.20712993379567235,0.11270718232043964,0.14122106336551044,0.4564540961024228,0.3481673558062933,0.4763384541615182,0
7,0.11494804266329192,0.5373246701862063,0.5585389196086772,0.24327724923106286,0.08397790055247267,0.10631674882511155,0.412738027712503,0.40351811619594924,0.48182505578813417,0
8,0.06372184492400576,0.34270224137677335,0.36250531688643145,0.4663909207361221,0.2939226519336815,0.347212258295891,0.45342354752451175,0.35964678674048633,0.6589639083045941,0
9,0.09526221057762854,0.33982551628182256,0.42115057422373464,0.3139432285970343,0.198895027624286,0.24202628876181476,0.5184263835993842,0.3990468848552807,0.7438540840602698,0
10,0.10047768243848273,0.5783394617360409,0.5739578902594642,0.3511072493881856,0.19558011049725255,0.23824992451014637,0.5710882424438862,0.46510617422384193,0.5231174962654225,0
11,0.02547990283337162,0.3244102263939323,0.33985538068906845,0.4176567036629616,0.21878453038675805,0.26452612409013443,0.5190746292844989,0.48778470810848695,0.6513287719233537,0
12,0.266619130159513,0.7523678414997228,0.7990216928966398,0.05610163889759795,0.051933701657472464,0.06653635968096294,0.4021149015476866,0.5247319363655477,0.5727458827434854,0
