,Unnamed: 0,sumValue,contrast,dissimilarity,homogeneity,ASM,energy,hue,value,saturaton,label
0,0,78.38367176906169,412.32358870967744,11.59173387096774,0.1555807595225738,0.0013677972164412,0.0369837425964599,90.853515625,54.087890625,135.0361328125,0
1,1,107.76363022838456,600.4022177419354,14.192540322580642,0.1434417695427754,0.0015608740894901,0.039507899077148,72.970703125,62.05859375,159.5615234375,0
2,2,80.30566605165541,582.6784274193549,14.162298387096774,0.1742486572296753,0.001930768730489,0.0439405135437567,77.5546875,49.791015625,150.990234375,0
3,3,92.36341266973628,408.55241935483866,12.17741935483871,0.145949236749874,0.0013901534859521,0.0372847621147317,76.9404296875,62.466796875,145.73046875,0
4,4,108.2266141020775,698.5604838709677,16.943548387096772,0.1346884997317993,0.00120723855359,0.0347453385879316,64.431640625,93.595703125,128.6748046875,0
5,5,100.43405796840034,771.1512096774193,16.645161290322577,0.1480518495439186,0.0013515381113423,0.0367632712274404,63.9931640625,73.9716796875,165.2138671875,0
6,6,100.05498488331304,651.1159274193548,15.059475806451612,0.1429410779568971,0.0013108903485952,0.036206219750137,80.7587890625,51.349609375,142.978515625,0
7,7,268.38964212502685,504.05141129032256,13.833669354838708,0.1781841515833805,0.0013657648283038,0.0369562556044825,70.1923828125,71.1171875,150.3837890625,0
8,8,143.69063991784571,806.1391129032259,19.22782258064516,0.099440721189166,0.0011767527315296,0.0343038296918821,58.1005859375,83.4814453125,143.341796875,0
9,9,150.5954846600654,739.5483870967741,18.276209677419352,0.102979067588136,0.0011991090010405,0.0346281533010436,66.2626953125,65.1201171875,121.1435546875,0
10,10,208.7965516956638,823.1683467741935,17.811491935483872,0.1165787396449016,0.0013149551248699,0.0362623099770261,66.55078125,73.8525390625,161.5009765625,0
11,11,105.77806956075536,498.851814516129,13.039314516129032,0.1542283854127664,0.0015141291623309,0.0389118126322959,79.7060546875,48.2705078125,155.0078125,0
12,12,130.3073290340954,773.3397177419355,15.494959677419356,0.13920447418893,0.0014470603537981,0.0380402465002282,66.30078125,55.490234375,128.521484375,0
13,13,84.17838202293983,363.03830645161287,10.719758064516128,0.1705641050235085,0.0015181939386056,0.0389640082461445,82.822265625,55.9248046875,142.7490234375,0
14,14,93.94147114027967,563.8125,13.754032258064516,0.1540653504633015,0.0014551899063475,0.0381469514685977,76.1474609375,55.8154296875,143.88671875,0
